id,brand,model,product_name,condition,last_sale,last_sale_size,lowest_ask,highest_bid,since_last_sale_dollar,since_last_sale_percent,colorway,retail_price,release_date,high_52_week,low_52_week,low_12_month_trade,high_12_month_trade,volatility,num_sales_12_month,price_premium_12_month,avg_sale_price_12_month,period
adidas-type-o1-s-oamc-medical-green,adidas,type,adidas type o1-s oamc medical green,New,15900.0,12,,10500.0,0.0,0.0,Medical Green/Medical Green/Medical Green,29316.0,2019-09-27,15900.0,15900.0,14300.0,17400.0,,1.0,-46.4,15900.0,387.0
adidas-stan-smith-silver-metallic-2019,adidas,stan,adidas stan smith silver metallic (2019),New,5600.0,9,4500.0,4200.0,2000.0,52.0,Silver Metallic/Silver Metallic/Crystal White,8376.0,2019-12-01,14800.0,3200.0,4500.0,6900.0,21.8,21.0,-33.6,6600.0,322.0
adidas-yeezy-powerphase-calabasas-grey,adidas,yeezy,adidas yeezy powerphase calabasas grey,New,8500.0,5,8000.0,15800.0,-1000.0,-11.0,,12564.0,2017-12-09,31700.0,5300.0,4400.0,12600.0,49.3,1888.0,-33.3,13300.0,1044.0
adidas-yeezy-500-high-slate,adidas,yeezy,adidas yeezy 500 high slate,New,26400.0,12,17300.0,28900.0,6500.0,32.0,Slate/Slate/Slate,23034.0,2019-12-16,84400.0,6400.0,23300.0,29500.0,11.5,5235.0,13.6,23200.0,307.0
adidas-yeezy-powerphase-calabasas-core-white,adidas,yeezy,adidas yeezy powerphase calabasas core white,New,18000.0,14,24700.0,30400.0,-7900.0,-31.0,,12564.0,2017-03-28,52700.0,10600.0,10500.0,25400.0,41.7,367.0,41.7,26400.0,1300.0
adidas-twinstrike-adv-white-purple-teal,adidas,twinstrike,adidas twinstrike adv white purple teal,New,17100.0,8.5,10500.0,,0.0,0.0,Cloud White/Real Purple/Real Teal,18846.0,2018-04-01,17100.0,17100.0,15400.0,18800.0,,1.0,-10.0,17100.0,931.0
adidas-yeezy-boost-350-v2-flax,adidas,yeezy,adidas yeezy boost 350 v2 flax,New,32700.0,10,34300.0,42600.0,-16800.0,-34.0,Flax/Flax/Flax,23034.0,2020-02-22,58000.0,23900.0,26200.0,39300.0,20.0,921.0,40.9,37700.0,239.0
adidas-eqt-basketball-adv-triple-white,adidas,eqt,adidas eqt basketball adv triple white,New,8200.0,7,6200.0,4200.0,0.0,0.0,Running White/Running White/Running White,12564.0,2018-03-01,8200.0,8200.0,7300.0,9000.0,,1.0,-35.8,8200.0,962.0
adidas-nmd-r1-stlt-triple-black,adidas,nmd,adidas nmd r1 stlt triple black,New,12500.0,11.5,9300.0,13700.0,-14900.0,-55.0,Core Black/Utility Black/Solar Pink,17799.0,2018-03-31,42200.0,3700.0,6900.0,18100.0,44.6,250.0,-30.6,13300.0,932.0
adidas-campus-80s-undftd-colette,adidas,campus,adidas campus 80s undftd colette,New,14300.0,10.5,26400.0,10500.0,-500.0,-4.0,,13611.0,2017-01-28,22500.0,5400.0,10300.0,18300.0,27.9,21.0,3.8,12600.0,1359.0
